Name,Operator,Type,Pipeline,Status,States,Regions,Authority,Docket,Updated,Completed,Year,Cost,Miles,Capacity,Diameter,Compression
Northeast Expansion Project,Dominion Transmission,Expansion,Interstate,Completed,PA,Northeast,FERC,CP11-39,11/2/2012,2012,01/01/2012,97,,200,,32440
Aguirre LNG Pipeline,EcoElectrica,Lateral,Interstate,Completed,PR,Puerto Rico,FERC,CP95-35,3/22/2014,2012,01/01/2012,50,42,186,24,
2011 system expansion,Eastern Shore Natural Gas,Expansion,Interstate,Completed,"DE,MD",Northeast,FERC,CP11-333,3/16/2013,,01/01/2012,13,22,6,"10,6",
Sunrise Project,Equitrans,New Pipeline,Interstate,Completed,"WV,PA",Northeast,FERC,CP11-68,7/30/2012,2012,01/01/2012,272,50,314,"24,20,16",14205
Bayonne Delivery Lateral Project,Transcontinental Gas Pipeline,Lateral,Interstate,Completed,NJ,Northeast,FERC,CP09-417,4/6/2012,2012,01/01/2012,17,6,250,"20,14",0
Moss Bluff 2011 Storage Header,Spectra Energy,Lateral,Interstate,Completed,TX,Southwest,FERC,CP08-387,7/16/2012,,01/01/2012,,3,,30,
Line N 2012 Expansion,National Fuel Gas Supply Corp,Expansion,Interstate,Completed,PA,Northeast,FERC,CP11-512,11/2/2012,2012,01/01/2012,36,5,150,24,
Northern Access Expansion Project,National Fuel Gas Supply Corp,Expansion,Interstate,Completed,"PA,NY",Northeast,Ferc,CP11-128,11/2/2012,2012,01/01/2012,80,0,320,,14210
Blacksville Compressor Station Project,Equitrans,Expansion,Interstate,Completed,WV,Northeast,FERC,CP12-13,1/2/2013,,01/01/2012,22,0,209,,
Northeast Supply Diversification Project,Tennessee Gas Pipeline Co,Expansion,Interstate,Completed,"PA,NY",Northeast,FERC,CP11-30,10/16/2012,2012,01/01/2012,100,7,250,30,0
Philadelphia Lateral Expansion Project,Texas Eastern Transmission,Expansion,Interstate,Completed,PA,Northeast,FERC,CP11-508,11/2/2012,2012,01/01/2012,,,27,30,
Samalayuca Crossing,Kinder Morgan Texas Pipeline,Expansion,Interstate,Completed,"TX,MX","Southwest,Mexico",FERC,CP12-74,7/30/2012,,01/01/2012,,,237,,
Stateline Pipeline Project,MDU Resources Group,Lateral,Intrastate,Completed,ND,Central,State,na,11/2/2012,2012,01/01/2012,,13,146,,
Rich Eagle Ford Mainline Expansion II,Energy Transfer Partners LP,Expansion,Intrastate,Completed,TX,Southwest,State,na,6/16/2013,,01/01/2012,0,70,400,42,
Transco Mid-South Expansion Phase 1,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,"AL,GA,SC,NC",Southeast,FERC,CP11-18,7/16/2012,2012,01/01/2012,93,23,95,42,47780
Station 230C Project,Tennessee Gas Pipeline Co,Expansion,Interstate,Completed,NY,Northeast,Ferc,CP11-133,11/2/2012,2012,01/01/2012,60,,320,,
Princeton Lateral Project,Northern Border Pipeline,Expansion,Interstate,Completed,IL,Midwest,FERC,CP10-468,10/26/2011,2011,01/01/2011,18,9,120,16,0
Gulfstream Pipeline Phase 5,Gulfstream Natural Gas System,Lateral,Interstate,Completed,FL,Southeast,FERC,CP10-4,10/12/2011,2011,01/01/2011,51,,35,,
TEMAX/TIME III,Texas Eastern Transmission,Expansion,Interstate,Completed,PA,Northeast,FERC,CP09-68,8/30/2011,2011,01/01/2011,472,39,455,"30,36",84433
Pine Prairie Chalk Line Loop,Pine Prairie Storage Co,Lateral,Interstate,Completed,LA,Southwest,FERC,CP04-379,7/21/2010,,01/01/2011,15,5,900,24,
Northeastern Tennessee Project,East Tennessee Nat Gas Co,Lateral,Interstate,Completed,VA,Northeast,FERC,CP10-89,4/14/2011,2011,01/01/2011,135,28,150,24,0
Gulf LNG Pipeline,Gulf LNG Pipeline LLC,New Pipeline,Interstate,Completed,MS,Southeast,FERC,CP06-12/13/14,7/21/2010,2011,01/01/2011,10,5,1500,36,
AIRPORT II COMPRESSION,Gulf South Pipeline,Expansion,Interstate,Completed,Al,southeast,FERC,CP10-502,1/16/2012,2011,01/01/2011,,,54,,
Clarence Compressor,Gulf South Pipeline,Expansion,Interstate,Completed,LA,Southwest,FERC,CP10-465,1/16/2012,2011,01/01/2011,0,0,105,,
NFGS Line N Projects,National Fuel Gas Supply Corp,Expansion,Interstate,Completed,PA,Northeast,FERC,CP10-457,2/14/2011,2011,01/01/2011,56,18,150,20,
Paiute South Tahoe Lateral,Paiute Pipeline,Expansion,Interstate,Completed,NV,Western,FERC,CP10-41,7/29/2010,2011,01/01/2011,2,1,,,
Tioga County Extension Project,Empire Pipeline,New Pipeline,Interstate,completed,"PA,NY",Northeast,FERC,CP10-493,11/1/2011,2011,01/01/2011,47,15,350,24,0
North and South Expansion Project,Central New York Oil & Gas,Expansion,Interstate,Completed,"PA,NY",Northeast,FERC,CP10-194,3/15/2011,2011,01/01/2011,0,0,325,,28700
Ruby Pipeline Project,Ruby Pipeline LLC,New Pipeline,Interstate,completed,"WY,UT,NV,OR","Central,Western",FERC,CP09-54,2/11/2011,2011,01/01/2011,2960,673,1500,42,157161
300 Line Expansion Project,Tennessee Gas Pipeline Co,Expansion,Interstate,Completed,"PA,NJ",Northeast,FERC,CP09-444,11/1/2011,2011,01/01/2011,643,127,350,30,59158
FGT Phase VIII Expansion,Florida Gas Trans Co,Expansion,Interstate,Completed,"AL,FL",Southeast,FERC,CP09-17,2/11/2011,2011,01/01/2011,2455,483,820,"42,36,30.24",213600
FGT Mobile Bay Lateral Expansion,Florida Gas Trans Co,Lateral,Interstate,Completed,AL,Southeast,FERC,CP09-455,9/28/2011,2011,01/01/2011,34,9,343,24,0
Hot Spring Lateral Project,Texas Eastern Transmission,Lateral,Interstate,Completed,"TX,Ar",Southwest,FERC,CP10-471,2/14/2011,2011,01/01/2011,38,8,112,16,0
Eagle Ford Chisholm Pipeline,Energy Transfer Partners LP,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,2/23/2011,2011,01/01/2011,0,83,300,20,
Mobile Bay South II Expansion Project,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,AL,Southeast,FERC,CP10-21,7/29/2010,2011,01/01/2011,36,,380,,8180
Transco 85 North Expansion Phase 2,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,"AL,GA,SC,NC",Southeast,FERC,CP09-57,7/14/2010,2011,01/01/2011,148,22,219,42,63925
Pascagoula Expansion Project,Pascagoula Supply Line,Expansion,Interstate,Completed,"MS,AL",Southeast,FERC,CP09-456,9/28/2011,2011,01/01/2011,59,16,810,26,0
Golden Pass Pipeline,Golden Pass Pipeline,Lateral,Interstate,Completed,"TX,LA",Southwest,FERC,CP04-400,5/20/2011,2011,01/01/2011,,69,2500,42,
Rich Eagle Ford Mainline Expansion I,Energy Transfer Partners LP,Expansion,Intrastate,Completed,TX,Southwest,State,na,3/2/2013,2011,01/01/2011,0,160,400,30,
North Fork Pipeline,Anchor Point Energy LLC,New Pipeline,Intrastate,Completed,AK,Alaska,State,na,3/7/2011,2011,01/01/2011,,7,49,,
Eagle Ford Dos Hermanas Pipeline,Energy Transfer Partners LP,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,2/23/2011,2011,01/01/2011,0,50,400,24,
Acadian Haynesville Extension,Enterprise Products Partners,New Pipeline,Intrastate,Completed,LA,Southwest,State,na,3/7/2011,2011,01/01/2011,1500,270,1800,"42,30,36",
Franklin to Hastings Expansion,Kinder Morgan Interstate Gas Transmissio,Expansion,Interstate,Completed,NE,Central,FERC,CP10-472,7/16/2012,2011,01/01/2011,,11,,20,
Joint Pipeline Expansion (SESH) Project,Southeast Supply Header LLC,Expansion,Interstate,Completed,MS,Southeast,FERC,CP09-40,7/29/2010,2011,01/01/2011,69,,360,"42,36",
South System Expansion III Phase 2,Southern Natural Gas Co,Expansion,Interstate,Completed,MS,Southeast,FERC,CP09-36,2/15/2011,2011,01/01/2011,108,20,125,36,42962
ETC Tiger Pipeline Expansion,Energy Transfer Partners LP,Expansion,Interstate,Completed,TX,Southwest,FERC,CP10-459,6/21/2010,2011,01/01/2011,193,21,400,42,30565
Maine Line 133 Loop Expansion,Questar Overthrust Pipeline Co,Expansion,Interstate,Completed,WY,Central,FERC,CP10-3,3/17/2011,2011,01/01/2011,94,43,800,36,0
Bison Pipeline Project,Bison Pipeline LLC,New Pipeline,Interstate,Completed,"WY,MT,ND",Central,FERC,CP09-161,2/14/2011,2011,01/01/2011,610,302,477,30,4700
Apex Expansion Project,Kern River Gas Transmission,Expansion,Interstate,Completed,"WY,UT,NV","Central,Western",FERC,CP10-14,3/17/2011,2011,01/01/2011,30,28,266,36,78000
Fayetteville Express Pipeline,Fayetteville Express Pipeline,New Pipeline,Interstate,Completed,"AR,MS","Southwest,Southeast",FERC,CP09-433,2/15/2011,2010,01/01/2010,1010,185,2000,42,71645
NNG Northern Lights 2010 Zone EF Expansion,Northern Natural Gas Co,Expansion,Interstate,Completed,MN,Midwest,FERC,CP09-11,2/15/2011,2010,01/01/2010,43,10,135,16,15000
REX Meeker to Cheyenne Expansion Compressor,Rockies Express Pipeline,Expansion,Interstate,Completed,"CO,WY",Central,FERC,CP09-58,7/20/2010,2010,01/01/2010,78,,200,,38000
Mainline 2010 System Expansion,Kern River Gas Transmission,Expansion,Interstate,Completed,"WY,NV","Central,Western",FERC,CP08-429,4/15/2010,2010,01/01/2010,62,,145,36,20500
ETC Tiger Pipeline Project,Energy Transfer Partners LP,New Pipeline,Interstate,Completed,"TX,LA",Southwest,FERC,CP09-460,6/21/2010,2010,01/01/2010,1200,175,2000,42,119680
Diamond Mountain Compressor Station Project.,Wyoming Interstate Gas Co,Expansion,Interstate,Completed,"UT,WY",Central,FERC,CP09-449,3/17/2011,2010,01/01/2010,49,,180,,20604
Egan Storage Header Exp,Spectra Energy,Lateral,Interstate,Completed,LA,Southwest,FERC,CP07-88,7/21/2010,2010,01/01/2010,25,17,200,24,
Enterprise Trinity River Supply Lateral,Enterprise Products Partners,Lateral,Intrastate,Completed,TX,Southwest,State,na,7/30/2010,2010,01/01/2010,55,40,1000,"36,30",
CGT Cobb Expansion Project,NiSource Gas Transmission & Storage,Expansion,Interstate,Completed,WV,Northeast,FERC,CP09-437,7/8/2010,2010,01/01/2010,16,1,28,16,
North Baja Yuma Lateral,North Baja Pipeline LLC,Lateral,Interstate,Completed,"MX,AZ","Mexico,Western",FERC,CP08-152,7/8/2010,2010,01/01/2010,15,3,81,12,
Transco Elba Express Interconnects -South Carolina,Transcontinental Gas Pipeline,Lateral,Interstate,Completed,SC,Southeast,FERC,CP09-88,7/16/2012,2010,01/01/2010,,,1175,,
Haynesville/Perryville Expansion,Gulf South Pipeline,Expansion,Interstate,Completed,"TX,LA,MS","Southwest,Southeast",FERC,CP09-420,7/29/2010,2010,01/01/2010,161,,556,,49471
Gill Ranch Storage Lateral,Gill Ranch Storage LLC,Lateral,Intrastate,Completed,CA,Western,State,na,7/29/2010,2010,01/01/2010,45,27,200,30,
South System Expansion III Phase 1,Southern Natural Gas Co,Expansion,Interstate,Completed,GA,Southeast,FERC,CP09-36,2/15/2011,2010,01/01/2010,121,41,125,36,42962
T.W. Phillips Bionol Clearfield Pipeline Proj,T.W. Phillips Pipeline Corp,New Pipeline,Interstate,Completed,PA,Northeast,FERC,CP09-3,7/8/2010,2010,01/01/2010,7,8,11,6,
2010 System Enhancement Project,Wyoming Interstate Gas Co,Expansion,Interstate,Completed,WY,Central,FERC,CP10-13,3/17/2011,2010,01/01/2010,71,2,285,20,0
Enterprise Wilson Storage Link,Wilson Gas Storage Facility,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/30/2010,2010,01/01/2010,,62,600,30,
Transco Elba Express Interconnects - Georgia,Transcontinental Gas Pipeline,Lateral,Interstate,Completed,GA,Southeast,FERC,CP09-88,7/16/2012,2010,01/01/2010,25,,1175,,
Transco Mobile Bay South Expansion,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,AL,Southeast,FERC,CP08-476,7/29/2010,2010,01/01/2010,37,,254,,9470
Transco 85 North Expansion Phase I,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,NC,Southeast,FERC,CP09-57,7/14/2010,2010,01/01/2010,100,,90,,63925
TECO SeaCoast Pipeline Project,SeaCoast Gas Transmission LLC,New Pipeline,Intrastate,Completed,FL,Southeast,State,na,3/31/2011,2010,01/01/2010,75,50,100,"24,20",
Enbridge Marquez Plant Line,Enterprise Products Partners,Expansion,Intrastate,Completed,TX,Southwest,State,na,4/22/2011,2010,01/01/2010,,69,,"16,36",
Red River Lateral,Regency Energy Partners LP,Expansion,Intrastate,Completed,LA,Southwest,State,na,2/15/2010,2010,01/01/2010,47,13,100,36,
Haynesville Expansion Project,Regency Energy Partners LP,Expansion,Intrastate,Completed,LA,Southwest,State,na,2/15/2011,2010,01/01/2010,1053,121,1100,"36,42",
Algonquin East-to-West (EW2) Expansion,Algonquin Gas Transmission,Expansion,Interstate,completed,CT,Northeast,FERC,CP08-420,7/20/2010,2010,01/01/2010,45,3,282,36,0
Overthrust Compression Expansion Project,Questar Overthrust Pipeline Co,Expansion,Interstate,Completed,WY,Central,FERC,CP09-76,7/29/2010,2010,01/01/2010,39,,300,,32000
Midcontinent Express Pipeline Expansion,Midcontinent Express Pipeline,Expansion,Interstate,Completed,"OK,TX,LA","Southwest,Southeast",FERC,CP09-56,7/8/2010,2010,01/01/2010,1340,,1500,,32720
TGT Greenville Lateral Expansion,Texas Gas Transmission Co,Expansion,Interstate,Completed,MS,Southeast,FERC,CP08-467,7/8/2010,2010,01/01/2010,162,,232,,39990
Bi-directional Pipeline Conversion,Midwestern Gas Transmission Co,Expansion,Interstate,Completed,"IL,IN",Midwest,FERC,CP08-436,3/31/2011,2010,01/01/2010,4,,150,,
Eshore Parkesburg Expansion,Eastern Shore Parkesburg Line,Expansion,Interstate,Completed,PA,Northeast,FERC,CP10-76,5/10/2010,2010,01/01/2010,19,8,40,16,
ANR Wisconsin Project Expansion,ANR Pipeline,Expansion,Interstate,Completed,WI,Midwest,FERC,CP08-465,7/29/2010,2010,01/01/2010,38,9,98,30,
SONAT Elba Express III,Elba Express Pipeline,New Pipeline,Interstate,Completed,GA,Southeast,FERC,CP06-470,3/3/2010,2010,01/01/2010,200,190,945,"42,36",
Delta Lateral Project,Transcontinental Gas Pipeline,Lateral,Interstate,Completed,PA,Northeast,FERC,CP09-237,7/29/2010,2010,01/01/2010,13,4,208,16,0
NWPL Sundance Trail Expansion,Northwest Pipeline Co,Expansion,Interstate,Completed,"CO,UT,WY",Central,FERC,CP09-415,7/29/2010,2010,01/01/2010,59,16,150,30,10310
Dominion Rural Valley Project,Dominion Transmission,Expansion,Interstate,Completed,PA,Northeast,FERC,CP09-10,7/8/2010,2010,01/01/2010,41,1,57,10,
Dominion Hub III Project,Dominion Transmission,Expansion,Interstate,Completed,"PA,WV",Northeast,FERC,CP09-18,7/29/2010,2010,01/01/2010,35,9,224,24,0
Dominion Hub II Project,Dominion Transmission,Expansion,Interstate,Completed,NY,Northeast,FERC,CP09-83,7/29/2010,2010,01/01/2010,23,,20,,
TGT Fayetteville Lateral Phase 3,Texas Gas Transmission Co,New Pipeline,Interstate,Completed,AR,"Southwest,Southeast",FERC,CP08-467,7/8/2010,2010,01/01/2010,162,,333,,39990
Dominion Hub I Project,Dominion Transmission,Expansion,Interstate,Completed,PA,Northeast,FERC,CP08-33,7/29/2010,2010,01/01/2010,34,2,200,20,
CIG Raton Basin 2010 Expansion,Colorado Interstate Gas Co,Expansion,Interstate,Completed,CO,Central,FERC,CP09-464,2/15/2011,2010,01/01/2010,132,118,130,16,0
Monroe Pipeline Project,City of Monroe,New Pipeline,Intrastate,Completed,NC,Southeast,State,na,3/31/2011,2010,01/01/2010,42,43,70,12,
Prairie Rose Header Pipeline,Pecan Pipeline Co,New Pipeline,Intrastate,Completed,ND,Central,State,na,7/8/2010,2010,01/01/2010,60,75,40,12,
CEGT Carthage/Perryville (Line CP) Phase IV,Centerpoint Energy Gas Transmission,Expansion,Interstate,Completed,"TX,LA",Southwest,FERC,CP09-29,7/29/2010,2010,01/01/2010,68,,274,,30000
NWPL Colorado Hub Connection Project (CHC),Northwest Pipeline Co,Expansion,Interstate,Completed,CO,Central,FERC,CP08-477,3/11/2010,2009,01/01/2009,60,27,582,24,0
Kinder Morgan Louisiana Pipeline,Kinder Morgan Louisiana PL Co,New Pipeline,Interstate,Completed,LA,Southwest,FERC,CP06-449,7/8/2010,2009,01/01/2009,1000,132,2130,"42,24",
Northern Border Des Plaines Project,Northern Border Pipeline,Expansion,Interstate,Completed,"IL,IA","Midwest,Central",FERC,CP08-72,3/11/2010,2009,01/01/2009,17,,,,
Bayou Choctaw Storage Headers,PetroLogistics Natural Gas Storage,Lateral,Interstate,Completed,LA,Southwest,FERC,CP07-428,7/21/2010,2009,01/01/2009,15,13,300,"24,16",
Questar Greasewood Station,Questar Pipeline,Expansion,Interstate,Completed,"UT,CO",Central,FERC,CP08-405,3/11/2010,2009,01/01/2009,21,,123,,
ET Cleburne to Tolar Extension,Energy Transfer Co,Expansion,Intrastate,Completed,TX,Southwest,State,na,7/8/2010,2009,01/01/2009,45,20,400,30,
KM REX-East Leg 2,Rockies Express Pipeline,New Pipeline,Interstate,Completed,OH,Northeast,FERC,CP07-208,7/8/2010,2009,01/01/2009,1162,195,1800,42,
Algonquin Kleen Energy Lateral,Algonquin Gas Transmission,Lateral,Interstate,Completed,CT,Northeast,FERC,CP08-462,3/8/2011,2009,01/01/2009,8,1,131,20,0
Algonquin J-2 Loop,Algonquin Gas Transmission,Expansion,Interstate,Completed,MA,Northeast,FERC,CP08-256,7/22/2010,2009,01/01/2009,35,2,140,14,0
MarkWest Arkoma Connector Pipeline Project,MarkWest Pioneer LLC,Lateral,Interstate,Completed,OK,Southwest,FERC,CP08-404,3/11/2010,2009,01/01/2009,75,50,638,24,
MichCon Sumpter Extension Pipeline Project,Michigan Consolidated PL Co,Expansion,Intrastate,Completed,MI,Midwest,State,MSPC U-15346,7/8/2010,2009,01/01/2009,61,15,214,24,
Midcontinent Express Pipeline,Midcontinent Express Pipeline,New Pipeline,Interstate,Completed,"OK,TX,LA,MS,AL","Southwest,Southeast",FERC,CP08-6,7/8/2010,2009,01/01/2009,1832,507,1533,"42,36",
Curryville Compression Expansion Project,MoGas Energy LLC,Expansion,Interstate,Completed,MO,Central,FERC,CP07-450,3/11/2010,2009,01/01/2009,16,,,,
Monroe Storage Field TCP Lateral,Monroe Gas Storage Co. LLC,Lateral,Interstate,Completed,MS,Southeast,FERC,CP07-406,3/11/2010,2009,01/01/2009,42,23,465,24,
CEGT Long Lake Compressor Station Project,Centerpoint Energy Gas Transmission,Expansion,Interstate,Completed,LA,Southwest,FERC,CP08-455,7/8/2010,2009,01/01/2009,10,1,90,,
CEGT Searcy Ph 2,Centerpoint Energy Gas Transmission,Lateral,Interstate,Completed,AR,Southwest,FERC,CP09-175,7/29/2009,2009,01/01/2009,10,,250,,
CEGT Tontitown Project,Centerpoint Energy Gas Transmission,New Pipeline,Interstate,Completed,"OK,AR",Southwest,FERC,CP08-69,7/8/2010,2009,01/01/2009,52,16,132,24,
Kia Motor Lateral,City of LaGrange,Lateral,Intrastate,Completed,GA,Southeast,State,na,7/8/2010,2009,01/01/2009,6,13,14,,
ET Southern Shale,Energy Transfer Co,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,7/8/2010,2009,01/01/2009,70,31,700,36,
CGT Eastern Market Expansion,Columbia Gas Transmission,Expansion,Interstate,Completed,VA,Northeast,FERC,CP07-367,7/8/2010,2009,01/01/2009,142,15,94,"36,26",
KM REX/NGPL Phase 1,Kinder Morgan Energy Partners,New Pipeline,Interstate,Completed,"WY,KS,IA",Central,FERC,na,6/26/2009,2009,01/01/2009,875,175,1000,42,
Dominion Utica 7 Project,Dominion Transmission,Expansion,Interstate,Completed,NY,Northeast,FERC,CP08-45,7/8/2010,2009,01/01/2009,6,,15,,
Dominion Quantico Compression Expansion,Dominion Transmission,Expansion,Interstate,Completed,VA,Northeast,FERC,CP07-31,7/8/2010,2009,01/01/2009,21,,180,,
ET Katy Pipeline Expansion,Energy Transfer Co,Expansion,Intrastate,Completed,TX,Southwest,State,na,7/8/2010,2009,01/01/2009,165,56,400,36,
ET Texas Independence Pipeline,Energy Transfer Partners LP,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,7/8/2010,2009,01/01/2009,485,160,1100,42,
Enterprise Sherman Extension,Enterprise Products Partners,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,7/8/2010,2009,01/01/2009,522,174,950,"36,30",
Guardian Pipeline Expansion and Extension Project,Guardian Pipeline Co,Expansion,Interstate,Completed,WI,Midwest,FERC,CP07-8,7/8/2010,2009,01/01/2009,350,119,537,"30,20",
Gulf Crossing Pipeline Project,Gulf Crossing Pipeline,New Pipeline,Interstate,Completed,"OK,LA",Southwest,FERC,CP07-398,7/8/2010,2009,01/01/2009,121,353,1726,42,
Iroquois 08/09 Expansion Phase 2,Iroquois Pipeline Co,Expansion,Interstate,Completed,CT,Northeast,FERC,CP07-457,7/8/2010,2009,01/01/2009,42,,80,,
Iroquois 08/09 Expansion Phase 3,Iroquois Pipeline Co,Expansion,Interstate,Completed,NY,Northeast,FERC,CP07-457,7/8/2010,2009,01/01/2009,24,,25,16,
KM Nebraska Ethanol Expansion Project,Kinder Morgan Energy Partners,Lateral,Interstate,Completed,NE,Central,FERC,CP08-44,7/8/2010,2009,01/01/2009,24,25,22,"16,12",
KM REX-East Leg 1,Rockies Express Pipeline,New Pipeline,Interstate,Completed,"MO,IN,OH","Central,Midwest",FERC,CP07-208,7/8/2010,2009,01/01/2009,2150,444,1600,42,
KM REX/NGPL Joint Project Phase 2,Kinder Morgan Energy Partners,New Pipeline,Interstate,Completed,"IA,IL","Central,Midwest",FERC,na,6/26/2009,2009,01/01/2009,1200,240,1000,42,
CGT 2008 Appalachian Expansion,Columbia Gas Transmission,Expansion,Interstate,Completed,WV,Northeast,FERC,CP08-85,7/8/2010,2009,01/01/2009,40,,100,,
Hampton Roads Crossing (HRX),Virginia natural Gas Co,Expansion,Intrastate,Completed,VA,Northeast,State,na,7/8/2010,2009,01/01/2009,146,21,100,16,
Tenneco Carthage Lateral Expansion,Tennessee Gas Pipeline Co,Lateral,Interstate,Completed,"TX,LA",Southwest,FERC,CP08-27,7/8/2010,2009,01/01/2009,42,1,100,12,
TGT Greenville Lateral,Texas Gas Transmission Co,New Pipeline,Interstate,Completed,MS,Southeast,FERC,CP07-417,7/8/2010,2009,01/01/2009,373,96,768,36,
Tenneco Concord Lateral Expansion,Tennessee Gas Pipeline Co,Expansion,Interstate,Completed,NH,Northeast,FERC,CP08-65,7/22/2010,2009,01/01/2009,20,,30,,
TGT Fayetteville Lateral Phase 2,Texas Gas Transmission Co,New Pipeline,Interstate,Completed,"AR,MS","Southwest,Southeast",FERC,CP07-417,7/8/2010,2009,01/01/2009,671,166,967,36,
TETCO Northern Bridge Project,Texas Eastern Transmission,Expansion,Interstate,Completed,"OH,WV,PA",Northeast,FERC,CP08-100,3/11/2010,2009,01/01/2009,45,,150,,
Fitchburg Expansion Project,Tennessee Gas Pipeline Co,Expansion,Interstate,Completed,MA,Northeast,FERC,CP08-63,7/8/2010,2009,01/01/2009,23,5,12,12,
TW Phoenix Lateral Project,Transwestern Pipeline Co,Expansion,Interstate,Completed,AZ,Western,FERC,CP06-459,3/11/2010,2009,01/01/2009,957,284,500,"42,36,24",
Hi Fields Lateral,Southeast Supply Header LLC,Lateral,Interstate,Completed,"AL,MS",Southeast,FERC,CP07-44,3/11/2010,2009,01/01/2009,23,11,175,16,
UNH Landfill gas-to-energy project,University New Hampshire,New Pipeline,Intrastate,Completed,NH,Northeast,State,na,7/8/2010,2009,01/01/2009,15,13,26,12,
TGT Midland Storage Lateral Exp,Texas Gas Transmission Co,Lateral,Interstate,Completed,KY,Southeast,FERC,CP07-405,7/8/2010,2009,01/01/2009,6,11,92,30,
Viking Fargo Lateral Expansion,Viking Gas Transmission Co,Expansion,Interstate,Completed,"MN,ND","Midwest,Central",FERC,CP09-69,7/8/2010,2009,01/01/2009,15,10,38,12,
Transco Sentinel Expansion Phase 2,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,"PA,NJ",Northeast,FERC,CP08-31,7/8/2010,2009,01/01/2009,229,14,102,42,
WIG Piceance Expansion Phase 2,Wyoming Interstate Gas Co,Expansion,Interstate,Completed,CO,Central,FERC,CP08-403,7/8/2010,2009,01/01/2009,42,46,180,,
WB Grasslands Expansion III,Williston Basin Interstate PL,Expansion,Interstate,Completed,"MT,ND",Central,FERC,CP09-39,7/8/2010,2009,01/01/2009,28,,75,,
WIG Douglas Expansion Project,Wyoming Interstate Gas Co,Expansion,Interstate,Completed,"WY,CO",Central,FERC,CP08-468,7/22/2010,2009,01/01/2009,0,,55,,
Greyhawk North Lateral Phase I,Wycoff Gas Storage Co,Lateral,Interstate,Completed,NY,Northeast,FERC,CP03-33,7/30/2010,2009,01/01/2009,5,4,400,16,
Vector Athens (ACS) Expansion,Vector Pipeline,Expansion,Interstate,Completed,"IL,IN,MI,ON","Midwest,Canada",FERC,CP08-29,7/22/2010,2009,01/01/2009,36,,105,,
ET Southeast Boosier Pipeline Phase 2,Energy Transfer Co,Expansion,Intrastate,Completed,TX,Southwest,State,na,6/26/2009,2008,01/01/2008,70,,400,24,
Dominion 2008 PA Expansion,Dominion Transmission,Expansion,Interstate,Completed,"PA,NY,MD,VA,WV,MD",Northeast,FERC,CP05-131,6/26/2009,2008,01/01/2008,175,113,700,"24,20,16",
TETCO Cedar Bayou Lateral Project,Texas Eastern Transmission,Lateral,Interstate,Completed,TX,Southwest,FERC,CP07-411,6/26/2009,2008,01/01/2008,17,4,360,20,
ETenn CNX Pressure Increase,East Tennessee Nat Gas Co,Expansion,Interstate,Completed,"VA,NC","Northeast,Southeast",FERC,CP08-35,6/26/2009,2008,01/01/2008,5,,90,,
Big Sandy Pipeline Phase II,Equitrans,Lateral,Interstate,Completed,KY,Southeast,FERC,CP06-275,6/26/2009,2008,01/01/2008,20,,60,20,
ETenn Patriot Extension III,East Tennessee Nat Gas Co,Lateral,Interstate,Completed,"VA,NC","Northeast,Southeast",FERC,CP01-415,6/26/2009,2008,01/01/2008,20,,75,"24,20",
Eastern Shore 2008 Expansion,Eastern Shore Natural Gas,Expansion,Interstate,Completed,"PA,MD,DE",Northeast,FERC,CP06-53,6/26/2009,2008,01/01/2008,8,9,11,16,
Empire/Millennium Expansion,Empire Pipeline,Expansion,Interstate,Completed,NY,Northeast,FERC,CP06-5/6/7,6/26/2009,2008,01/01/2008,187,78,250,24,
ET Southeast Boosier Pipeline Phase 1,Energy Transfer Co,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/26/2009,2008,01/01/2008,360,165,900,"42,24",
ET North side to Paris Loop,Energy Transfer Co,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/26/2009,2008,01/01/2008,260,145,350,"36,30",
El Paso Eunice Replacement Project,El Paso Natural Gas,Expansion,Interstate,Completed,NM,Southwest,FERC,CP08-2,7/8/2010,2008,01/01/2008,27,,12,,
El Paso Hobbs Lateral,El Paso Natural Gas,Lateral,Interstate,Completed,TX,Southwest,FERC,CP08-14,6/26/2009,2008,01/01/2008,17,7,150,20,
El Paso Picacho Compressor Station Project,El Paso Natural Gas,Expansion,Interstate,Completed,AZ,Western,FERC,CP07-448,6/26/2009,2008,01/01/2008,24,,30,,
ET Maypearl to Malone,Energy Transfer Co,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,6/26/2009,2008,01/01/2008,50,25,600,36,
