Number,Name,Status,Capacity,Company,Waterway,lon,lat,Issued,Expiration
6120,CAMP CREEK,Expired,990,LASSEN STATION HYDROELEC L P (WA),CAMP CREEK CA,-121.4391401,39.8950349,12/29/1982,11/30/1932
1256,LOUP RIVER,Expired,47700,LOUP RIVER PUBLIC POWER DIST (NE),LOUP RIVER NE,-97.8582374,41.367814,12/29/1982,4/15/2014
4796,GLEN PARK,Expired,32650,"NORTHBROOK NEW YORK, LLC.",BLACK RIVER NY,-75.7943671,44.0125639,12/29/1982,11/30/1932
3309,NASH MILL DAM,Active,225,"MARLOW HYDRO, LLC.",ASHUELOT RIVER NH,-72.1686601,43.1496371,12/30/1982,11/30/2022
3131,BROCKWAYS MILLS,Expired,803,"BROCKWAY MILLS, LLC",WILLIAMS RIVER VT,-72.6750649,43.3381909,1/20/1983,12/31/1932
5313,DEWEY'S MILLS,Expired,2900,HYDRO ENERGIES CORP (VT),OTTAUQUECHEE RIVER VT,-72.7664614,43.6424759,1/20/1983,12/31/1932
3011,ARCTIC,Active,478,NATCO PRODUCTS CORP (RI),PAWTUXET RIVER RI,-71.5659043,41.7332319,1/25/1983,12/31/2022
4334,PHILADELPHIA,Active,3645,FORTISUS ENERGY CORP,INDIAN RIVER NY,-75.3687999,43.9764571,2/17/1983,1/31/2023
2888,WHISKEYTOWN,Expired,3530,REDDING CITY OF (CA),CLEAR CREEK CA,-121.0485719,40.2979436,3/10/1983,2/28/1933
2701,WEST CANADA CREEK,Active,39750,"ERIE BOULEVARD HYDROPOWER, L.P.",WEST CANADA CREEK NY,-74.9378234,43.253432,3/18/1983,2/28/2023
5728,SANDY HOLLOW,Active,825,SANDY HOLLOW POWER CO INC (NY),INDIAN R NY,-74.4808696,42.9784796,3/22/1983,2/28/2023
3255,LYONSDALE,Active,3000,"LYONSDALE ASSOCIATES, LLC",MOOSE RIVER NY,-75.3571211,43.6167358,3/22/1983,2/28/2023
2790,LOWELL,Active,24823,BOOTT HYDROPOWER INC,MERRIMACK RIVER MA,-70.8565892,42.81182,4/13/1983,4/30/2023
3189,ROCK CREEK,Expired,3544,ROCK CREEK LTD PARTNERSHIP (CA),SOUTH FORK AMERICAN RIVER CA,-121.0369469,38.7639842,4/29/1983,3/31/1933
3190,BLACK BUTTE,Expired,6200,SANTA CLARA CITY OF (CA),STONY CREEK CA,-120.1933754,40.5801952,5/5/1983,4/30/1933
344,SAN GORGONIO,Expired,2250,SOUTHERN CALIFORNIA EDISON CO (CA),SAN GORGONIO RIVER CA,-116.62807,33.9033488,5/18/1983,4/26/2003
5596,BEDFORD,Active,5772,BEDFORD CITY OF (VA),JAMES RIVER VA,-76.6181655,37.0686965,5/20/1983,4/30/2023
4306,MISSISSIPPI LOCK & DAM NO 2,Expired,4400,HASTINGS CITY OF (MN),MISSISSIPPI RIVER MN,-90.3668194,38.342773,7/11/1983,6/30/1933
2905,ENOSBURG FALLS,Active,975,ENOSBURG FALLS VILLAGE OF (VT),MISSISQUOI RIVER VT,-72.8779638,44.9542663,7/12/1983,4/30/2023
3044,LOCK & DAM NO 9,Expired,32400,ARKANSAS ELECTRIC COOP CORP (AR),ARKANSAS RIVER AR,-94.0646314,35.4130266,7/20/1983,6/30/1933
3442,MINE FALLS,Active,3000,MINE FALLS LTD PARTNERSHIP (ME),NASHUA RIVER NH,-71.5093347,42.7476546,8/4/1983,7/31/2023
3033,DAM NO 2,Expired,102600,ARKANSAS ELECTRIC COOP CORP (AR),ARKANSAS RIVER AR,-94.0646314,35.4130266,8/10/1983,7/31/1933
3449,MURRAY LOCK & DAM,Expired,39000,NORTH LITTLE ROCK CITY OF (AR),ARKANSAS RIVER AR,-94.0646314,35.4130266,8/17/1983,7/31/1933
3038,SUCCESS,Expired,1400,LOWER TULE RIVER IRR DISTRICT (CA),TULE RIVER CA,-118.8116724,36.1332893,8/22/1983,7/31/1933
3562,BARKER MILL UPPER,Active,950,KEI (MAINE) POWER MGMT (III) LLC,LITTLE ANDROSCOGGIN RIVER ME,-70.6239498,44.3329217,8/22/1983,7/31/2023
6470,WINOOSKI 8,Active,810,WINOOSKI HYDROELECTRIC CO (VT),WINOOSKI RIVER VT,-73.1940831,44.4924785,8/29/1983,7/31/2023
3133,ERROL,Active,2031,"BROOKFIELD WHITE PINE HYDRO, LLC.",UMBAGOG LAKE NH,-71.0445688,44.7801576,8/29/1983,7/31/2023
3603,RUEDI,Expired,5052,CITY OF ASPEN (CO),RUEDI DAM CO,-106.8189278,39.3633185,9/8/1983,8/31/1933
6240,WATSON DAM,Active,265,WATSON ASSOCIATES (NH),COCHECO RIVER NH,-70.8394954,43.1869243,9/8/1983,8/31/2023
2975,SAND BAR,Expired,16200,TRI-DAM POWER AUTHORITY (CA),STANISLAUS R MIDDLE FORK CA,-119.8651789,37.856035,9/8/1983,8/31/1933
5261,NEWBURY,Active,340,NEWBURY HYDRO CO (VT),WELLS RIVER VT,-72.0470357,44.1542302,9/8/1983,8/31/2023
5765,MADERA CANAL,Expired,440,MADERA-CHOWCHILLA POWER AUTH (CA),USBR MADERA IRRIGATION CANAL CA,-119.4179324,36.778261,9/8/1983,8/31/1933
6440,LAKEPORT,Active,705,"LAKEPORT HYDROELECTRIC ONE, LLC",WINNIPESAUKEE RIVER NH,-71.6512048,43.439862,9/8/1983,8/31/2023
5089,FELT,Active,7450,FALL RIVER RURAL ELEC COOP INC (ID),TETON RIVER ID,-111.8342934,43.8970458,9/9/1983,8/31/2023
3509,LITTLE FALLS,Active,13600,LITTLE FALLS HYDROELEC ASSOC (NY),NY STATE BARGE CANAL NY,-75.0951593,43.0645143,9/19/1983,8/31/2023
4129,RIO BRAVO,Expired,14000,OLCESE WATER DISTRICT (CA),KERN RIVER CA,-118.4538736,35.8075701,9/20/1983,8/31/1933
6115,PYRITES,Active,8200,PYRITES ASSOCIATES (NY),GRASS RIVER NY,-75.0092045,44.6171418,9/23/1983,8/31/2023
77,POTTER VALLEY,Active,9959,PACIFIC GAS AND ELECTRIC CO (C,EEL RIVER CA,-124.3067284,40.6282303,10/4/1983,4/14/2022
3174,VALLECITO,Expired,5844,PTARMIGAN RESOURCES&ENERGY INC (CO),LOS PINOS RIVER CO,-107.3288789,37.6527008,10/5/1983,9/30/1933
5867,ALICE FALLS,Active,1942,"ALICE FALLS HYDRO, LLC",AUSABLE RIVER NY,-73.6304593,44.367598,10/5/1983,9/30/2023
4639,CHRISTINE FALLS,Active,850,CHRISTINE FALLS CORP (NY),SACANDAGA RIVER NY,-73.8635919,43.3145338,10/18/1983,9/30/2023
3043,LOCK AND DAM NUMBER 13,Expired,33200,ARKANSAS ELECTRIC COOP CORP (AR),ARKANSAS RIVER AR,-94.0646314,35.4130266,10/18/1983,9/30/1933
6951,TALLASSEE SHOALS,Active,1900,FALL LINE HYDRO COMPANY INC. (GA),MIDDLE OCONEE RIVER GA,-83.4109288,33.9237563,10/24/1983,9/30/2023
4202,LOWELL TANNERY,Active,1000,KEI (MAINE) POWER MGMT (II) LLC,PASSADUMKEAG R ME,-68.6166937,45.1853362,10/31/1983,9/30/2023
2952,GEM STATE,Expired,22600,IDAHO FALLS CITY OF (ID),SNAKE RIVER ID,-117.050991,46.399883,12/12/1983,11/30/1933
4881,BARBER DAM,Active,3700,ADA COUNTY (ID),SNAKE RIVER ID,-117.050991,46.399883,12/23/1983,11/30/2023
6916,STRONTIA SPRINGS,Active,1087,DENVER CITY & COUNTY OF (CO),SOUTH PLATTE RIVER CO,-104.9947499,39.6917815,1/13/1984,12/31/2023
5073,BENTON FALLS,Expired,4330,BENTON FALLS ASSOCIATES (NY),SEBASTICOOK ME,-69.3835102,44.7874093,3/8/1984,2/28/1934
4597,PINE VIEW,Expired,1800,BOUNTIFUL CITY CITY OF (UT),OGDEN RIVER UT,-111.9599378,41.2351378,3/16/1984,2/28/1934
2984,EEL WEIR,Expired,1800,S D WARREN CO (ME),PRESUMPSCOT RIVER ME,-70.4482999,43.8295323,3/16/1984,3/31/2004
3940,LEWISVILLE DAM,Expired,2700,"CITY OF GARLAND, TX",ELM FORK OF THE TRINITY RIVER TX,-97.0420218,33.2730661,3/27/1984,2/28/1934
4117,COLEBROOK,Expired,3000,METROPOLITAN DIST OF HARTFORD (CT),WEST BRANCH FARMINGTON RIVER CT,-72.9542699,41.8667635,3/27/1984,2/28/1934
2959,TOLT RIVER - SOUTH FORK,Active,16700,SEATTLE CITY OF (WA),SOUTH FORK TOLT RIVER WA,-121.7520752,47.6960698,3/29/1984,7/19/2029
7189,GREEN LAKE,Active,500,GREEN LAKE WATER POWER CO (ME),REEDS BROOK ME,-68.8559967,44.7361821,4/5/1984,3/31/2024
2853,BROADWATER,Active,9660,MONTANA DEPT-NATURAL RESOURCES (MT),MISSOURI RIVER MT,-101.7945316,47.5316053,4/23/1984,7/1/2024
3025,KELLEY'S FALLS,Active,450,CONSOLIDATED HYDRO NH INC (CT),PISCATAQUOG RIVER NH,-71.5123025,43.004956,4/24/1984,3/31/2024
4354,OWYHEE DAM,Expired,4930,GEM IRRIGATION DISTRICT (ID),OWYHEE RIVER OR,-117.1445757,43.7276182,5/9/1984,4/30/1934
7153,VICTORY MILLS,Active,1656,CONSOLIDATED HYDRO NY INC (CT),FISH CREEK NY,-75.5332353,43.5203475,5/15/1984,4/30/2024
2547,HIGHGATE FALLS,Active,11510,SWANTON VILLAGE OF (VT),MISSISQUOI R VT,-72.7972985,44.9085507,5/24/1984,4/30/2024
516,SALUDA,Expired,207300,SOUTH CAROLINA ELECTRIC&GAS CO (SC),SALUDA RIVER SC,-81.0808182,34.0094625,6/1/1984,8/31/2010
3206,NEW MARTINSVILLE,Expired,35720,"NEW MARTINSVILLE, CITY OF (WV)",OHIO RIVER WV,-88.5253353,37.060704,6/4/1984,5/31/1934
2600,WEST ENFIELD,Active,13000,BANGOR-PACIFIC HYDRO ASSOCIATE (ME),PENOBSCOT RIVER ME,-68.8178022,44.4455184,6/26/1984,5/31/2024
4678,CRESCENT,Active,11800,NEW YORK POWER AUTHORITY,MOHAWK RIVER NY,-75.042573,43.004913,6/26/1984,5/31/2024
4679,VISCHER FERRY,Active,11800,NEW YORK POWER AUTHORITY,MOHAWK RIVER NY,-75.042573,43.004913,6/26/1984,5/31/2024
7161,GALESVILLE,Expired,1660,DOUGLAS COUNTY (OR),COW CREEK OR,-118.768149,43.7824576,6/29/1984,5/31/1934
7338,ORCHARD AVENUE,Expired,1441,YAKIMA-TIETON IRRIGATION DIST (WA),USBR IRRIGATION SYSTEM WA,-120.7401386,47.7510741,7/6/1984,6/30/1934
7337,COWICHE,Expired,1470,YAKIMA-TIETON IRRIGATION DIST (WA),USBR IRRIGATION SYSTEM WA,-120.7401386,47.7510741,7/6/1984,6/30/1934
7252,HIGH LINE CANAL,Expired,530,SANTA CLARA CITY OF (CA),HIGH LINE CANAL CA,-120.7279811,37.5727111,7/17/1984,6/30/1934
3494,ALLEGHENY LOCK & DAM NO 6,Expired,8560,"ALL DAMS GENERATION, LLC",ALLEGHENY RIVER PA,-79.0134337,41.3033409,7/19/1984,6/30/1934
2491,JIM FALLS,Expired,49200,NORTHERN STATES POWER CO (WI),CHIPPEWA RIVER WI,-91.1790093,45.1785875,7/24/1984,9/30/1933
4472,SARANAC,Active,4865,"ERIE BOULEVARD HYDROPOWER, L.P.",SARANAC RIVER NY,-73.8889137,44.5917944,7/27/1984,6/30/2024
7009,FRIANT T. L.,Expired,0,PACIFIC GAS AND ELECTRIC CO (C, CA,-119.4179324,36.778261,8/2/1984,8/31/1932
7410,PETERBOROUGH,Expired,623,AMERICAN HYDRO INC (PA),NUBANUSIT BROOK NH,-71.9501034,42.8758335,8/15/1984,7/31/1934
3451,TOWNSEND,Active,5000,BEAVER FALLS MUNICIPAL AUTH (PA),BEAVER RIVER PA,-80.3067715,40.6899276,8/17/1984,7/31/2024
5679,M.S.C.,Active,520,"ENERGY STREAM, LLC.",QUINEBAUG RIVER CT,-71.9271546,41.9970468,8/30/1984,7/31/2024
5000,KAYUTA LAKE,Active,400,TRAFALGAR POWER INC (NH),BLACK RIVER NY,-75.7943671,44.0125639,9/12/1984,8/31/2024
6398,HACKETT MILLS,Active,485,HACKETT MILLS HYDRO ASSOCIATES (MD),LITTLE ANDROSCOGGIN RIVER ME,-70.6239498,44.3329217,9/12/1984,8/31/2024
3633,BRIGHTON,Active,400,"KC BRIGHTON, LLC",PATUXENT RIVER MD,-76.42295,38.2772663,9/21/1984,8/31/2024
4285,LOGAN NO. 2,Expired,7720,LOGAN CITY OF (UT),LOGAN RIVER UT,-111.8634685,41.7060091,9/21/1984,8/31/1934
7214,SPRING CREEK,Expired,1,SMITH LANE,WHITE SALMON RIVER WA,-121.6211773,46.1666411,9/28/1984,8/31/1934
3671,ALLEGHENY L & D NO 5,Expired,9500,"ALL DAMS GENERATION, LLC",ALLEGHENY RIVER PA,-79.0134337,41.3033409,10/15/1984,9/30/1934
7186,SHELDON SPRINGS,Active,24965,MISSISQUOI ASSOCIATES (ID),MISSISQUOI RIVER VT,-72.8779638,44.9542663,11/2/1984,9/30/2024
3083,KAW,Expired,31433,OKLAHOMA MUNICIPAL POWER AUTH (OK),ARKANSAS RIVER OK,-94.0646314,35.4130266,11/27/1984,10/31/1934
4108,ST CLOUD,Active,8860,ST CLOUD CITY OF (MN),MISSISSIPPI RIVER MN,-90.3668194,38.342773,12/5/1984,11/30/2024
6689,PENACOOK UPPER FALLS,Active,3020,BRIAR-HYDRO ASSOCIATES (MA),CONTOOCOOK RIVER NH,-71.6694888,43.2390233,12/5/1984,11/30/2024
3240,ROLFE CANAL,Active,4283,BRIAR-HYDRO ASSOCIATES (MA),CONTOOCOOK RIVER NH,-71.6694888,43.2390233,12/5/1984,11/30/2024
3755,ECHO,Expired,4500,BOUNTIFUL CITY CITY OF (UT),WEBER RIVER UT,-111.8629131,41.1376464,12/7/1984,11/30/1934
5357,MITCHELL BUTTE LATERAL,Expired,1880,OWYHEE IRRIGATION DISTRICT (OR),OWYHEE RESERVOIR OR,-117.34727,43.4259831,12/14/1984,11/30/1934
3351,WARM SPRINGS,Expired,2790,SONOMA COUNTY WATER AGENCY (CA),RUSSIAN RIVER CA,-123.0060362,38.8910346,12/18/1984,11/30/1934
7373,MARTINSVILLE,Expired,250,BOERI JOHN L 'JAY' JR,LULL BROOK VT,-72.5778415,44.5588028,12/28/1984,11/30/1934
7282,ROARING CREEK,Expired,2000,MEGA RENEWABLES (CA),ROARING CREEK CA,-121.9367566,40.8954546,12/28/1984,11/30/1934
7961,PETTYBORO BROOK,Expired,58,ROBERT MCHUGH/ELLYSON CO INC (MA),PETTYBORO BROOK NH,-71.9588747,44.2179502,1/11/1985,12/31/1934
2744,MENOMINEE & PARK MILL,Expired,4615,"N.E.W. HYDRO, LLC.",MENOMINEE RIVER WI,-87.6744719,45.1246776,3/11/1985,2/28/2015
8315,SARTELL DAM,Active,9500,AIM DEVELOPMENT (USA) LLC.,MISSISSIPPI RIVER MN,-90.3668194,38.342773,3/13/1985,2/28/2025
3939,RAY ROBERTS DAM,Expired,1200,DENTON CITY OF (TX),ELM FORK TRINITY RIVER TX,-97.1286698,33.5780956,3/20/1985,2/28/1935
3021,ALLEGHENY RIVER LOCKS/DAMS NOS 8&9,Expired,30400,"ALLEGHENY HYDRO, LLC",ALLEGHENY RIVER PA,-79.0134337,41.3033409,3/27/1985,2/28/1935
4026,AZISCOHOS,Active,5311,ANDROSCOGGIN RESERVOIR CO (ME),MAGALLOWAY RIVER ME,-71.0326937,44.9352325,4/17/1985,3/31/2025
2593,BEAVER FALLS,Active,1500,"ALGONQUIN POWER, LLC.",BEAVER RIVER NY,-74.9099025,43.9036755,4/19/1985,12/31/2017
7563,WEEKS FALLS,Expired,4772,SOUTH FORK II ASSOCIATES (WA),SOUTH FORK SNOQUALMIE RIVER WA,-121.6367875,47.4582538,4/25/1985,3/31/1935
4885,TWIN FALLS,Expired,24000,TWIN FALLS HYDRO ASSOCIATES LP (CT),SOUTH FORK SNOQUALMIE RIVER WA,-121.6367875,47.4582538,5/6/1985,4/30/1935
5931,HATCHET CREEK,Expired,6890,MEGA RENEWABLES (CA),HATCHET CREEK CA,-121.8066833,40.854304,5/9/1985,4/30/1935
8278,CEDAR DRAW CREEK,Expired,2878,CRYSTAL SPRINGS HYDROELECTRIC LP,CEDAR DRAW CREEK ID,-114.8181746,42.7017849,5/24/1985,4/30/1935
4093,BYNUM DAM,Expired,600,BYNUM HYDRO CO (NJ),HAW RIVER NC,-79.3641862,36.091526,5/31/1985,4/30/2015
8357,PONDEROSA/BAILEY,Expired,1100,SNOW MOUNTAIN HYDRO LLC,BAILEY CREEK CA,-121.7553817,40.4946701,6/14/1985,5/31/1935
6154,MILL AND SULPHUR CREEKS,Expired,995,MILL & SULFUR CREEK POWER PLT (WA),SULPHUR CREEK CA,-122.435167,39.0334146,6/28/1985,5/31/1935
5,KERR,Expired,188250,CONF SALISH & KOOTENAI TRIBES (MT),FLATHEAD RIVER MT,-114.1452032,48.1236391,7/17/1985,9/4/1935
7320,CHASM,Active,3350,"ERIE BOULEVARD HYDROPOWER, L.P.",SALMON RIVER NY,-76.087894,43.5427297,7/26/1985,6/30/2015
7242,KANAKA,Expired,1200,STS HYDROPOWER LTD (IL),SUCKER RUN CR CA,-121.2800208,39.5577412,8/15/1985,7/31/1935
3623,YOUGHIOGHENY LAKE,Expired,12200,YOUGHIOGHENY HYDROELEC AUTH (PA),YOUGHIOGHENY RIVER PA,-79.8703091,40.3533177,8/23/1985,7/31/1935
1940,TOMAHAWK,Active,2600,WISCONSIN PUBLIC SERVICE CORP (WI),WISCONSIN RIVER WI,-90.1542947,44.570007,8/26/1985,4/1/2018
7274,LAKE ALGONQUIN,Active,663,WELLS TOWN OF (NY),SACANDAGA RIVER NY,-73.8635919,43.3145338,8/28/1985,7/31/2025
7178,ARBUCKLE MT,Expired,400,"ARBUCKLE MOUNTAIN HYDRO, LLC.",MIDDLE FORK COTTONWOOD CREEK CA,-122.8867222,40.3737866,9/20/1985,8/31/1935
6461,MORSE CREEK,Expired,500,PORT ANGELES CITY OF (WA),MORSE CREEK WA,-123.3484359,48.0536765,9/20/1985,8/31/1935
7856,POTOSI POWER COMPANY,Expired,300,"WILLOW CREEK HYDRO,LLC.",SOUTH WILLOW CREEK MT,-111.8435594,45.6627283,10/7/1985,9/30/1935
4720,NAVAJO,Expired,30000,FARMINGTON CITY OF (NM),SAN JUAN RIVER NM,-106.7792581,34.8113258,10/15/1985,9/30/1935
7883,WESTON,Active,474,POWER HOUSE SYSTEMS INC (NH),UPPER AMMONOOSUC RIVER NH,-71.3112107,44.4861,10/15/1985,9/30/2025
8047,WILLIMANTIC #2,Active,770,WILLIMANTIC POWER CORP (VT),WILLIMANTIC RIVER CT,-72.3009144,41.6298209,10/17/1985,9/30/2025
7518,HOGANSBURG,Active,485,"ERIE BOULEVARD HYDROPOWER, L.P.",ST. REGIS RIVER NY,-74.6195358,45.0019891,10/25/1985,9/30/2015
5226,EL VADO,Expired,8000,LOS ALAMOS COUNTY (NM),RIO CHAMA NM,-106.5794793,36.9030679,10/31/1985,9/30/1935
4660,WHITE RIVER L & D NO 2,Expired,6307,INDEPENDENCE COUNTY OF (AR),WHITE RIVER AR,-91.5402327,34.918891,11/8/1985,10/31/1935
8498,L & M ANGUS RANCH,Expired,860,"SHILOH WARM SPRINGS RANCH, LLC.",WARM SPRINGS CREEK ID,-115.3139791,44.1421389,11/21/1985,10/31/1935
8615,FISKE MILL,Active,810,FISKE HYDRO INC (NY),ASHUELOT RIVER NH,-72.1686601,43.1496371,12/4/1985,11/30/2025
8051,WILLIMANTIC #1,Active,770,WILLIMANTIC POWER CORP (VT),WILLIMANTIC RIVER CT,-72.3009144,41.6298209,12/10/1985,11/30/2025
7804,NORTH WILLOW CREEK,Expired,400,OHS GERALD & GLENDA,NORTH WILLOW CREEK MT,-111.8694445,45.6674137,12/13/1985,11/30/1935
6552,NORTH FORK SPRAGUE RIVER,Expired,1230,"SPRAGUE HYDRO, LLC",NORTH FORK SPRAGUE RIVER OR,-121.1106704,42.4565692,12/20/1985,11/30/1935
3428,WORUMBO,Active,19100,MILLER HYDRO GROUP INC (ME),ANDROSCOGGIN RIVER ME,-69.8695642,43.9703225,12/24/1985,11/30/2025
7828,NEW LAHONTAN,Expired,4000,TRUCKEE-CARSON IRRIGATION DIST (NV),CARSON RIVER NV,-118.6550542,39.7073399,12/26/1985,11/30/1935
8221,BRADLEY LAKE,Expired,119700,ALASKA ENERGY AUTHORITY (AK),BRADLEY RIVER AK,-150.8593178,59.777229,12/31/1985,11/30/1935
8660,LITTLE GOLD,Expired,450,BOULDER HYDRO (MT),LITTLE GOLD CREEK MT,-113.1233318,46.4166611,12/31/1985,11/30/1935
8396,COLUMBIA DAM,Active,530,GREAT BEAR HYDROPOWER INC (CA),PAULINS KILL NJ,-74.7722954,41.0901184,1/15/1986,12/31/2025
7986,FORD,Expired,1497,FORD HYDRO LTD PARTNERSHIP (ID),JIM FORD CREEK ID,NA,NA,1/17/1986,12/31/1935
5698,CHATEAUGAY HIGH FALLS,Active,1706,TRITON POWER CO (NY),HIGH FALLS DAM NY,-74.142915,41.863171,1/22/1986,12/31/2025
8936,POWER CANAL,Active,400,BES HYDRO CO (CA),TAILRACE CANAL OF PROJECT 77 CA,-119.4179324,36.778261,1/23/1986,4/14/2022
6904,UPPER GREENWICH,Active,574,BATTEN KILL HYDRO ASSOCIATES (MD),BATTEN KILL NY,-73.5751157,43.1095198,2/28/1986,1/31/2026
4204,WHITE RIVER LOCK & DAM NO. 1,Expired,6029,BATESVILLE CITY OF (AR),WHITE RIVER AR,-91.5402327,34.918891,2/28/1986,1/31/1936
4659,WHITE RIVER LOCK & DAM NO. 3,Expired,10500,INDEPENDENCE COUNTY OF (AR),WHITE RIVER AR,-91.5402327,34.918891,2/28/1986,1/31/1936
4359,OWYHEE TUNNEL NO. 1,Expired,8120,GEM IRRIGATION DISTRICT (ID),SNAKE RIVER OR,-119.0287237,46.2072147,2/28/1986,1/31/1936
8865,STEVENSON NO. 1,Active,115,STANLEY N. STANDAL JR. & LORETTA M.,UNNAMED TRIBUTARY OF SNAKE RIVER ID,NA,NA,3/18/1986,6/30/2024
8866,STEVENSON NO. 2,Active,85,"BLACK CANYON BLISS, LLC.",UNNAMED TRIBUTARY OF SNAKE RIVER ID,NA,NA,3/18/1986,2/29/2024
6066,DERBY,Active,8500,MCCALLUM ENTERPRISES I&SHELTON (CT),HOUSATONIC RIVER CT,-73.1128313,41.1942347,3/25/1986,2/28/2026
8093,METHUEN FALLS,Active,357,METHUEN FALLS HYDROELECTRIC CO (MA),SPICKETT RIVER MA,-71.1623342,42.7107674,3/27/1986,2/28/2026
4113,PHOENIX,Active,3380,OSWEGO HYDRO PARTNERS L P (NY),OSWEGO RIVER NY,-76.4898849,43.4419838,3/28/1986,2/28/2026
2715,COMBINED LOCKS,Active,6200,KAUKAUNA CITY OF (WI),FOX RIVER WI,-88.499783,42.2322218,3/31/1986,7/29/2024
7396,ABIQUIU,Expired,16800,LOS ALAMOS COUNTY (NM),RIO CHAMA NM,-106.5794793,36.9030679,4/16/1986,3/31/1936
9044,BIGG'S CREEK,Expired,15,PICKERING FREDERIC EARL (WA),BIGG'S CREEK WA,-119.3167526,47.1646182,4/29/1986,3/31/1936
2548,LYONS FALLS,Active,8640,"NORTHBROOK LYONS FALLS, LLC.",MOOSE RIVER NY,-75.3571211,43.6167358,5/6/1986,5/31/2026
4349,MOOSE RIVER,Active,12200,FORTISUS ENERGY CORP,MOOSE RIVER NY,-75.3571211,43.6167358,5/6/1986,4/30/2026
4627,BAKER CREEK,Expired,1495,BAKER STATION ASSOCIATES L.P. (WA),BAKER CREEK CA,-122.996474,52.928741,5/8/1986,4/30/1936
6903,MIDDLE GREENWICH,Active,300,BATTEN KILL HYDRO ASSOCIATES (MD),BATTON KILL NY,-73.4415461,43.0927359,5/9/1986,4/30/2026
7194,BIRCH,Expired,2650,BIRCH POWER COMPANY,BIRCH CREEK ID,-113.807849,42.035502,5/21/1986,4/30/1936
6972,HOLLOW DAM,Active,1060,"AMPERSAND HOLLOW DAM HYDRO, LLC.",WEST BRANCH OSWEGATCHIE RIVER NY,-75.3323763,44.1797014,5/30/1986,4/30/2026
8492,MCGEE CREEK DAM,Expired,85,MC GEE CREEK AUTHORITY (OK),MCGEE CREEK OK,-95.8709987,34.3583064,6/23/1986,5/31/1936
7656,BUTTERMILK FALLS,Active,79,DODSON JOHN A (NY),BUTTERMILK FALLS BROOK NY,-73.2978049,43.1812779,6/24/1986,6/30/2026
8646,MINK CREEK,Expired,3075,"MINK CREEK HYDRO, LLC",MINK CREEK ID,-111.7157789,42.228257,6/30/1986,5/31/1936
2833,COWLITZ FALLS,Expired,70200,PUD NO 1 OF LEWIS COUNTY (WA),COWLITZ RIVER WA,-121.8434586,46.5752696,6/30/1986,5/31/1936
7887,MINNEWAWA,Active,1000,"ASHUELOT RIVER HYDRO, INC.",MINNEWAWA BROOK NH,-72.1640676,42.9245533,7/14/1986,6/30/2026
9650,GILMAN DAM,Active,125,FACTORY FALLS INC. (VT),BLACK RIVER VT,-72.3695724,44.6404744,7/18/1986,6/30/2026
7888,COMTU FALLS,Active,460,COMTU FALLS ASSOCIATES (VT),BLACK RIVER VT,-72.3695724,44.6404744,7/18/1986,6/30/2026
9648,FELLOWS DAM,Active,150,"ONE HUNDRED RIVER STREET, LLC.",BLACK RIVER VT,-72.3695724,44.6404744,7/18/1986,6/30/2026
8546,PINE CREEK,Expired,373,CARTER HOWARD & MILDRED,PINE CREEK MT,-110.5640942,45.5074367,7/25/1986,6/30/1936
9649,LOVEJOY DAM,Active,150,LOVEJOY TOOL CO INC (VT),BLACK RIVER VT,-72.3695724,44.6404744,7/29/1986,6/30/2026
5376,HORSESHOE BEND,Expired,7850,HORSESHOE BEND HYDROELEC CO (ID),PAYETTE RIVER ID,-116.6966227,43.9797134,7/30/1986,6/30/1936
9028,HALIFAX,Active,1785,BANISTER HYDRO INC (MD),BANISTER RIVER VA,-79.4681549,36.7720181,8/27/1986,7/31/2026
308,WALLOWA FALLS,Active,1100,PACIFICORP (OR),ROYAL PURPLE CREEK OR,-117.1975876,45.2541728,8/28/1986,2/28/2016
7931,29 MILE CREEK,Expired,30,EUGENE MARK SOUZA,UNNAMED TRIBUTARY OF CA,-119.4179324,36.778261,8/28/1986,7/31/1936
6015,ROCK CREEK NO. 2,Expired,1900,ROCK CREEK HYDROPOWER INC (ID),SNAKE RIVER ID,-117.050991,46.399883,8/29/1986,7/31/1936
3947,TERMINUS,Expired,17000,KAWEAH RIVER POWER AUTHORITY (CA),TERMINUS DAM (CORPS) CA,-119.4179324,36.778261,8/29/1986,7/31/1936
2428,PIEDMONT,Active,1000,AQUENERGY SYSTEMS INC (SC),SALUDA RIVER SC,-81.0808182,34.0094625,9/9/1986,12/31/2017
9842,WARD MILL DAM,Active,168,WARD RAY F,WATAUGA RIVER NC,-81.8041554,36.2292111,9/9/1986,8/31/2016
7120,KEKAWAKA CREEK,Expired,4950,STS HYDROPOWER LTD (IL),KEKAWAKA CREEK CA,-123.4512363,40.1139732,9/10/1986,8/31/1936
9088,LOWER VILLAGE,Active,1350,LOWER VILLAGE HYDRO. ASSOC. LP (ME),SUGAR RIVER NH,-72.2746686,43.3700362,9/10/1986,8/31/2026
9195,TESLA,Expired,26850,COLORADO SPRINGS CITY OF (CO),WEST MONUMENT CREEK CO,-105.0007673,38.984365,9/17/1986,8/31/1936
2302,LEWISTON FALLS,Active,36354,"BROOKFIELD WHITE PINE HYDRO, LLC.",ANDROSCOGGIN RIVER ME,-69.8695642,43.9703225,9/29/1986,8/31/2026
